@relation 'TrainingData_g2-1-weka.filters.unsupervised.attribute.Remove-V-R9-10,23,27,29,39,53'

@attribute light_bedroom {off,on}
@attribute light_bathroom {off,on}
@attribute current_fan_livingroom {off,standby,on}
@attribute current_monitor_bedroom {off,standby,on}
@attribute current_speaker_bedroom {off,standby,on}
@attribute camera_bedroom {off,on}
@attribute class {OtherActivity,g2-1}

@data
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
off,off,off,standby,off,on,OtherActivity
on,on,on,on,off,off,OtherActivity
on,on,on,on,off,off,OtherActivity
on,on,on,on,off,off,OtherActivity
off,on,off,standby,off,off,OtherActivity
off,on,off,standby,off,off,OtherActivity
off,on,off,standby,off,off,OtherActivity
off,on,off,standby,off,off,OtherActivity
off,on,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
off,off,off,standby,off,off,OtherActivity
on,off,on,standby,off,off,OtherActivity
off,on,off,standby,on,off,OtherActivity
off,on,off,standby,on,off,OtherActivity
off,on,off,standby,on,off,OtherActivity
on,on,off,standby,on,off,OtherActivity
on,on,off,standby,on,off,OtherActivity
on,on,off,standby,on,off,OtherActivity
on,on,off,standby,on,off,OtherActivity
on,on,off,standby,on,off,OtherActivity
on,on,off,standby,on,off,OtherActivity
on,off,off,on,on,on,g2-1
on,off,off,on,on,on,g2-1
on,off,off,on,on,on,g2-1
on,off,off,on,on,on,g2-1
on,off,off,on,on,on,g2-1
on,off,off,on,on,on,g2-1
on,off,off,on,on,on,g2-1
on,off,off,on,on,on,g2-1
on,off,off,on,on,on,g2-1
on,off,off,on,on,on,g2-1
on,off,off,on,on,on,g2-1
on,off,off,on,on,on,g2-1
on,off,off,on,on,on,g2-1
on,off,off,on,on,on,g2-1
on,on,on,standby,on,off,OtherActivity
on,on,on,standby,on,off,OtherActivity
on,on,on,standby,on,off,OtherActivity
on,on,on,standby,on,off,OtherActivity
on,on,on,standby,on,off,OtherActivity
on,on,on,standby,on,off,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
off,on,off,standby,off,on,OtherActivity
